artist_id,name,stage,startdate,enddate
136,Mary Lake ,X-Ray,2023-08-18T22:30:00+02:00,2023-08-18T23:45:00+02:00
137,Mechatok ,X-Ray,2023-08-19T22:30:00+02:00,2023-08-20T00:00:00+02:00
138,Merol ,Heineken,2023-08-18T13:15:00+02:00,2023-08-18T14:15:00+02:00
139,Mezerg ,India,2023-08-20T20:00:00+02:00,2023-08-20T21:00:00+02:00
140,Mimi Webb ,Heineken,2023-08-19T15:30:00+02:00,2023-08-19T16:30:00+02:00
141,Moderat ,Bravo,2023-08-20T18:50:00+02:00,2023-08-20T20:00:00+02:00
142,Mother Mother ,Heineken,2023-08-18T15:15:00+02:00,2023-08-18T16:15:00+02:00
143,Muna ,Heineken,2023-08-18T11:15:00+02:00,2023-08-18T12:15:00+02:00
144,Myrte Siebinga: Nu Voor Het Echie ,Juliet,2023-08-18T15:00:00+02:00,2023-08-18T15:30:00+02:00
145,N00B ,Juliet,2023-08-19T19:00:00+02:00,2023-08-19T19:50:00+02:00
146,Nabihah Iqbal ,X-Ray,2023-08-18T12:35:00+02:00,2023-08-18T13:35:00+02:00
147,Nala ,Hacienda,2023-08-20T22:00:00+02:00,2023-08-20T23:30:00+02:00
148,New Scientist Live – Klare Taal ,Echo,2023-08-19T13:40:00+02:00,2023-08-19T14:25:00+02:00
149,New Scientist Live – Mentale Malaise Bij Jongeren ,Echo,2023-08-20T13:40:00+02:00,2023-08-20T14:25:00+02:00
150,New Scientist Live – Muziek Is Geen Rocketscience. Of Wel? ,Echo,2023-08-18T13:40:00+02:00,2023-08-18T14:25:00+02:00
151,Nia Archives ,India,2023-08-18T19:00:00+02:00,2023-08-18T20:00:00+02:00
152,Nonchelange ,X-Ray,2023-08-18T10:45:00+02:00,2023-08-18T11:45:00+02:00
153,Noord Nederlands Orkest ,Alpha,2023-08-19T12:00:00+02:00,2023-08-19T13:00:00+02:00
154,Nothing But Thieves ,Alpha,2023-08-18T18:30:00+02:00,2023-08-18T19:30:00+02:00
155,Nusantara Beat ,Lima,2023-08-18T12:15:00+02:00,2023-08-18T13:15:00+02:00
156,Nyk de Vries & Artvark Saxophone Quartet ,Adonis,2023-08-19T08:30:00+02:00,2023-08-19T09:15:00+02:00
157,Oxlade ,India,2023-08-19T15:20:00+02:00,2023-08-19T16:05:00+02:00
158,Oxygen | Jennifer Romen: Delusion ,Juliet,2023-08-20T13:00:00+02:00,2023-08-20T13:30:00+02:00
159,Palms Trax ,Bravo,2023-08-19T00:00:00+02:00,2023-08-19T01:30:00+02:00
160,Partiboi69 ,India,2023-08-19T17:10:00+02:00,2023-08-19T18:10:00+02:00
161,Past Lives (Voorpremière) ,Echo,2023-08-19T17:00:00+02:00,2023-08-19T18:45:00+02:00
162,Peptalk ,Adonis,2023-08-20T13:00:00+02:00,2023-08-20T13:45:00+02:00
163,Piri ,X-Ray,2023-08-20T16:30:00+02:00,2023-08-20T17:15:00+02:00
164,Ploegendienst ,X-Ray,2023-08-19T11:30:00+02:00,2023-08-19T12:15:00+02:00
165,Poëzie Is Een Daad ,Adonis,2023-08-20T10:00:00+02:00,2023-08-20T10:45:00+02:00
166,Punkimo ,Lima,2023-08-19T22:00:00+02:00,2023-08-20T01:00:00+02:00
167,Pusha T ,Bravo,2023-08-18T19:30:00+02:00,2023-08-18T20:30:00+02:00
168,Pva ,X-Ray,2023-08-20T14:30:00+02:00,2023-08-20T15:30:00+02:00
169,Quique ,Lima,2023-08-19T12:30:00+02:00,2023-08-19T13:30:00+02:00
170,Raye ,Heineken,2023-08-20T15:00:00+02:00,2023-08-20T16:00:00+02:00
171,Rema ,Bravo,2023-08-20T14:40:00+02:00,2023-08-20T15:40:00+02:00
172,René Van Meurs ,Juliet,2023-08-18T20:45:00+02:00,2023-08-18T21:45:00+02:00
173,Ricks ,Hacienda,2023-08-20T01:00:00+02:00,2023-08-20T02:30:00+02:00
174,Rundfunk ,Juliet,2023-08-20T19:00:00+02:00,2023-08-20T19:50:00+02:00
175,S!Rene ,Hacienda,2023-08-21T01:00:00+02:00,2023-08-21T02:30:00+02:00
176,S10 ,Bravo,2023-08-18T11:00:00+02:00,2023-08-18T12:00:00+02:00
177,Sadar Bahar ,X-Ray,2023-08-21T00:45:00+02:00,2023-08-21T02:45:00+02:00
178,Sally Dansgezelschap Maastricht: God Is A Dj ,Juliet,2023-08-19T13:30:00+02:00,2023-08-19T14:20:00+02:00
179,Sekan ,India,2023-08-19T21:00:00+02:00,2023-08-19T22:00:00+02:00
180,Sentinel Island Disco ,Hacienda,2023-08-18T20:30:00+02:00,2023-08-18T23:00:00+02:00
